unit_id,canonical_name,college_dept,unit_type,previous_names,active
OIT-2A7E1C,Planning and Management,OIT,Administrative,,Yes
PAPL-3967DB,Public Affairs & Planning (Improvement Report),PAPL,Administrative,,Yes
PHIL-216187,Philosophy and Humanities,PHIL,Administrative,,Yes
PHYS-DCA750,Physics,PHYS,Administrative,,Yes
PRES-4FB0AE,Athletics,PRES,Administrative,,Yes
PRES-0B47FA,Legal Affairs,PRES,Administrative,,Yes
PSYC-B50DAD,Psychology,PSYC,Administrative,,Yes
RSCH-4EA177,Research Administration,RSCH,Administrative,,Yes
RSCH-09EB55,McNair Scholars Program,RSCH,Administrative,,Yes
SA-E45B6F,Fraternity and Sorority Life,SA,Administrative,,Yes
SA-A81FB8,Community Standards,SA,Administrative,,Yes
SA-8CB0EA,Office of International Education,SA,Administrative,,Yes
SA-3F2E04,Campus Recreation,SA,Administrative,,Yes
SA-F4D874,Student Access & Resource Center - SAR Center,SA,Administrative,,Yes
SA-DE9FA2,Veteran Services,SA,Administrative,,Yes
SA-1F1A3E,Student Publications,SA,Administrative,,Yes
SA-A0C747,Follett Student Leadership Center,SA,Administrative,,Yes
SA-0B50B8,Student Governance,SA,Administrative,,Yes
SA-FECAB3,Student Organizations,SA,Administrative,,Yes
SA-418CE9,Student Advocacy Services,SA,Administrative,,Yes
SA-5CFA2E,Student Activities,SA,Administrative,,Yes
SA-6F6219,Career Development Center,SA,Administrative,,Yes
SA-7BA083,Intercultural Student Engagement Center,SA,Administrative,,Yes
SA-64640D,Apartment and Residence Life,SA,Administrative,,Yes
SA-8DA6C9,Transition Programs & Services,SA,Administrative,,Yes
SA-168D9E,Counseling and Psychological Services,SA,Administrative,,Yes
SA-B8406D,New Maverick Orientation,SA,Administrative,,Yes
SA-DE0F6D,Health Services,SA,Administrative,,Yes
SSW-D81031,School of Social Work,SSW,Administrative,,Yes
TCE-8C78E9,"Office of Talent, Culture, and Engagement",TCE,Administrative,,Yes
